以下内容可能涉及剧透！没玩过的先别看哦

本作尽量完全实现了Tower of the Sorcerer ver1.2的复刻。不同之处在这里列出，如果发现有其他不同请告诉我
注：此列表并不是为了说明原版和复刻版谁好谁坏，请不要做无意义的比较
注：大多数人玩的50层是FLASH复刻版，这里是和TSW原版的比较，不是和复刻版！与FLASH复刻版不同的地方太多了，所以就不列出了（其实是不想用FLASH版测试）

【不同程度】     【不同】                         【原版】                     【本作】
新增功能   | 误开门                           | 无法撤销                   | 退格键撤销误开的门
新增功能   | 存读档界面                       | 等于没有                   | 加入了存读档界面，可以预览保存数据
十分不同   | 勇士移动                         | 卡顿，连续走动需要长按触发 | 平滑移动
比较不同   | 怪物信息                         | 没有金币信息               | 添加金币、回合和临界信息
比较不同   | 十字架和屠龙匕                   | 怪物手册显示加倍前         | 怪物手册显示攻击加倍后的计算
比较不同   | 先攻怪物（40F）                  | 怪物手册不显示先攻伤害     | 在40层时怪物手册以怪物先攻计算（对不先攻怪物不准），显示时怪物名会变为橙色
比较不同   | 怪物手册界面                     | 灰底白、红字，静态怪物     | 优化了手册界面
比较不同   | 怪物移动效果，事件消失、出现效果 | 怪物移动卡顿，渐变卡顿     | 优化怪物移动效果和渐变效果
比较不同   | 对话界面                         | 灰底白字，几乎看不清对话   | 优化对话界面
比较不同   | 对话记录                         | 选择界面为1-24的数字框     | 左右键选择
比较不同   | 获得宝物                         | 没有宝物说明（说明在官网） | 获得宝物时显示宝物说明
略微不同   | 怪物防御过高                     | 无法走入怪物所在格         | 勇士碰到怪物马上走回来
略微不同   | BGM更换                          | 读档后BOSS战BGM会消失      | 读档后依然播放BOSS战BGM
略微不同   | 与公主对话后BGM                  | BGM换，但是切换楼层后重置  | BGM始终保持更换后的BGM，切换楼层也是如此
略微不同   | 魔王出现BGM                      | 5秒                        | 2秒
略微不同   | 道具使用界面                     | 原版光标无法选中无道具的格 | 可以选中，但是用不了
略微不同   | 仙子                             | 仙子可以记录成绩           | 仙子没有记录成绩功能
略微不同   | 仙子                             | 仙子3周目会算分            | 仙子3周目不算分
略微不同   | 死亡后                           | 询问是否重新开始           | 没有询问窗口，按确认键重新开始
略微不同   | 2F老人                           | 对话时直接加能力           | 对话时询问是否加能力
略微不同   | 38层暗墙门更新周目后读之前的档   | 有蜜汁bug，会重新出现暗墙  | 修复了此bug，但是该暗墙无法用卷轴消除（原作中可以）
略微不同   | 33层骑士剑的陷阱先杀怪再触发     | 有bug，会导致门打不开      | 修复了此bug，先杀怪则不会出现门
略微不同   | 2周目魔术师的魔法攻击提示信息    | 有bug                      | 修复了bug
略微不同   | 红衣跨屏退敌                     | 会产生bug“残影”            | 修复了此bug

